no	code	name	lambda	alpha	delta	da	dd	vel	a	q	e	peri	node	i
1	CAP	α Capricornids	128.90	306.60	-8.20	0.54	0.26	22.20	2.62	0.60	0.77	266.67	128.90	7.68
1	CAP	α Capricornids	122.30	306.70	-9.30	0.91	0.25	23.40	2.37	0.55	0.77	273.30	122.30	7.70
1	CAP	α Capricornids	123.80	303.40	-10.60	0.75	0.28	22.20	2.54	0.59	0.77	267.60	123.80	7.20
1	CAP	α Capricornids	129.00	308.40	-9.60	0.90	0.30	22.80	2.53	0.59	0.77	269.00	127.70	7.00
1	CAP	α Capricornids	127.90	307.10	-8.90	0.00	0.00	22.60	2.55	0.59	0.77	268.40	127.90	7.40
1	CAP	α Capricornids	123.50	302.90	-9.90	0.66	0.28	22.20	2.35	0.59	0.75	269.20	123.30	7.30
1	CAP	α Capricornids	126.10	305.70	-9.40	0.50	0.26	22.40	2.55	0.59	0.77	268.40	127.90	7.40
1	CAP	α Capricornids	127.00	306.50	-9.20	0.97	0.24	23.00	2.54	0.58	0.77	268.90	125.40	7.50
2	STA	Southern Taurids	224.00	49.40	13.00	0.73	0.18	28.00	2.07	0.35	0.83	115.40	37.30	5.40
2	STA	Sorthern Taurids	207.60	40.60	10.30	0.00	0.00	27.80	1.89	0.34	0.82	117.90	27.60	6.00
2	STA	Sorthern Taurids	196.50	31.00	8.00	0.82	0.29	27.92	1.67	0.31	0.81	122.50	16.00	3.00
2	STA	Sorthern Taurids	196.00	30.90	8.10	0.82	0.29	28.20	1.72	0.31	0.82	122.26	16.00	5.30
2	STA	Southern Taurids	216.00	47.90	12.80	0.99	0.26	26.60	1.95	0.35	0.80	116.60	34.40	5.30
3	SIA	Southern ι Aquariids	131.70	334.70	-14.20	1.07	0.18	33.80	2.36	0.21	0.91	131.80	311.70	6.90
3	SIA	Southern ι Aquariids	131.70	339.00	-15.60	0.00	0.00	34.80	2.68	0.19	0.93	137.50	306.90	8.60
3	SIA	Southern ι Aquariids	129.50	332.90	-14.70	0.36	-0.14	30.50	1.55	0.22	0.86	134.30	309.10	5.30
4	GEM	Geminids	262.10	113.20	32.50	1.02	-0.15	34.58	1.37	0.14	0.90	324.42	261.49	24.02
4	GEM	Geminids	261.60	112.90	32.30	0.00	0.00	34.60	1.38	0.14	0.90	324.20	261.60	23.50
4	GEM	Geminids	261.50	112.80	32.10	1.10	-0.17	35.00	1.42	0.14	0.90	324.60	261.30	24.00
4	GEM	Geminids	261.00	112.50	32.10	1.12	-0.17	34.50	1.35	0.14	0.90	324.95	261.00	23.20
4	GEM	Geminids	262.00	113.50	32.30	1.15	-0.16	33.80	1.31	0.15	0.89	324.30	261.70	22.90
5	SDA	Southern δ Aquariids	125.60	342.10	-15.40	0.00	0.00	40.50	3.11	0.09	0.97	148.90	312.20	26.40
5	SDA	Southern δ Aquariids	127.20	340.40	-16.30	0.73	0.26	40.20	1.97	0.07	0.97	154.50	307.20	30.80
5	SDA	Southern δ Aquariids	126.70	339.60	-16.10	0.75	0.21	41.01	2.80	0.08	0.97	150.60	306.70	25.50
5	SDA	Southern δ Aquariids	125.60	305.70	-16.10	0.80	0.18	41.40	2.88	0.07	0.98	152.80	152.80	27.20
5	SDA	Southern δ Aquariids	126.50	340.10	-17.00	0.90	0.20	40.80	2.33	0.07	0.97	152.40	306.50	32.50
5	SDA	Southern δ Aquariids	128.20	341.00	-15.80	0.00	0.00	40.80	2.79	0.08	0.97	151.10	308.20	26.90
5	SDA	Southern δ Aquariids	126.50	341.00	-16.10	0.78	0.25	41.10	2.38	0.07	0.97	153.90	306.20	30.90
5	SDA	Southern δ Aquariids	128.00	341.30	-15.70	0.95	0.38	41.30	2.59	0.07	0.98	152.90	306.60	29.00
6	LYR	April Lyrids	32.40	272.00	33.30	0.00	0.00	46.60	45.70	0.92	0.98	214.30	31.80	79.60
6	LYR	April Lyrids	32.40	271.90	33.30	1.23	0.17	47.07	56.00	0.92	0.98	214.50	32.20	79.50
6	LYR	April Lyrids	32.40	271.90	33.60	1.10	0.00	47.60	28.00	0.92	0.97	214.30	32.50	79.00
6	LYR	April Lyrids	32.40	272.00	33.30	0.00	0.00	47.10	83.55	0.92	0.99	214.20	32.40	79.80
