South ι Aquarids   	 1.98 	0.882 	1.2   	301.1 	 74.6
South δ Aquarids   	 2.54 	0.974 	28.9  	304.6 	 98.1
North δ Aquarids   	 2.43 	0.952 	21.2  	143.2 	107.6
α Capricornids     	 2.92 	0.773 	8.0   	142.2 	 41.0
S. Taurid-Arietids 	 1.78 	0.819 	5.0   	 13.7 	136.4
North Taurids      	 2.10 	0.851 	3.8   	216.1 	157.0
Andromedids        	 2.35 	0.701 	0.4   	 25.9 	100.4
North ι Aquarids   	 3.48 	0.947 	15.0  	124.1 	 76.9
Draconids          	 3.37 	0.704 	24.6  	195.5 	 12.5
Monocerotids       	20.16 	0.992 	39.8  	 78.1 	209.4
χ Geminids         	 2.38 	0.760 	6.3   	295.4 	204.2
ρ Geminids         	 2.78 	0.724 	5.2   	300.6 	183.3
σ Leonids          	 2.43 	0.670 	2.2   	359.0 	250.8
ξ Orionids         	 1.86 	0.480 	0.9   	159.8 	176.2
ψ Ursa Majorids    	 1.72 	0.448 	9.4   	  8.7 	221.7
α Bootids          	 2.02 	0.636 	18.5  	 22.6 	275.3
γ Bootids          	 3.55 	0.760 	27.8  	 27.0 	256.4
ξ Librids          	 2.33 	0.920 	0.2   	213.7 	349.0
μ Draconids        	10.02 	0.853 	45.4  	 28.5 	218.1
φ Bootids          	 1.53 	0.372 	20.2  	 55.6 	271.8
ξ Cepheids         	 1.08 	0.164 	19.2  	 42.9 	146.0
ω Ursa Majorids    	 2.69 	0.611 	8.5   	 67.1 	239.8
Cyclids            	 1.01 	0.087 	1.9   	 52.1 	135.1
θ Ophiucids        	 2.87 	0.062 	4.0   	256.0 	  5.1
μ Draconids        	 3.10 	0.678 	33.5  	 82.3 	279.3
τ Herculids        	 2.44 	0.582 	25.1  	 90.9 	288.6
μ Ophiucids        	 2.32 	0.575 	3.6   	135.0 	340.3
θ Herculids        	 2.38 	0.582 	18.2  	139.6 	340.3
β Cetids           	 1.66 	0.656 	13.8  	354.3 	 92.0
Capricornids       	 1.47 	0.361 	3.0   	169.8 	 25.4
α Pegasids         	 2.52 	0.629 	4.5   	206.1 	 71.1
λ Draconids        	 4.32 	0.750 	74.8  	202.4 	 21.4
ε Geminids         	 2.00 	0.952 	173.4 	205.1 	 77.8
η Taurids          	 3.29 	0.722 	0.7   	275.9 	135.5
